0,1
0.12,0	45
0.13,3	45
0.12,6	45
0.15,9	45
0.13,12	45
0.15,15	45
0.14,0	45
0.27,3	45
0.28,6	45
0.27,9	45
0.28,12	45
0.27,15	45
0.27,18	45
0.21,21	45
0.18,24	45
0.24,27	45
0.21,30	45
0.22,33	45
0.27,36	45
0.28,39	45
0.29,42	45
0.29,45	45
0.30,48	45
0.30,51	45
0.31,54	45
0.31,57	45
0.31,60	45
0.31,63	45
0.31,66	45
0.33,69	45
0.32,72	45
0.33,75	45
0.33,78	45
0.33,81	45
0.33,84	45
0.35,87	45
0.35,90	45
0.35,93	45
0.37,96	45
0.35,99	45
0.35,102	45
0.37,105	45
0.37,108	45
0.37,111	45
0.35,114	45
0.35,117	45
0.34,120	45
0.35,123	45
0.34,126	45
0.35,129	45
0.35,132	45
0.34,135	45
0.34,138	45
0.33,141	45
0.33,144	45
0.34,147	45
0.33,150	45
0.31,153	45
0.32,156	45
0.32,159	45
0.31,162	45
0.32,165	45
0.30,168	45
0.29,171	45
0.30,174	45
0.30,177	45
0.30,180	45
0.29,180	47
0.19,177	47
0.21,174	47
0.19,171	47
0.18,168	47
0.19,165	47
0.23,162	47
0.27,159	47
0.28,156	47
0.28,153	47
0.27,150	47
0.27,147	47
0.19,144	47
0.19,141	47
0.24,138	47
0.19,135	47
0.18,132	47
0.14,129	47
0.12,126	47
0.12,123	47
0.12,120	47
0.11,117	47
0.12,114	47
0.12,111	47
0.11,108	47
0.12,105	47
0.12,102	47
0.13,99	47
0.12,96	47
0.11,93	47
0.14,90	47
0.12,87	47
0.11,84	47
0.11,81	47
0.20,78	47
0.24,75	47
0.27,72	47
0.20,69	47
0.27,66	47
0.20,63	47
0.32,60	47
0.34,57	47
0.29,54	47
0.30,51	47
0.30,48	47
0.40,45	47
0.38,42	47
0.37,39	47
0.39,36	47
0.38,33	47
0.38,30	47
0.38,27	47
0.38,24	47
0.38,21	47
0.38,18	47
0.39,15	47
0.44,12	47
0.43,9	47
0.42,6	47
0.42,3	47
0.42,0	47
0.41,0	49
0.42,3	49
0.42,6	49
0.42,9	49
0.43,12	49
0.42,15	49
0.37,18	49
0.35,21	49
0.33,24	49
0.34,27	49
0.35,30	49
0.32,33	49
0.22,36	49
0.18,39	49
0.21,42	49
0.23,45	49
0.19,48	49
0.28,51	49
0.18,54	49
0.15,57	49
0.27,60	49
0.21,63	49
0.13,66	49
0.11,69	49
0.11,72	49
0.12,75	49
0.12,78	49
0.12,81	49
0.11,84	49
0.12,87	49
0.13,90	49
0.12,93	49
0.11,96	49
0.12,99	49
0.17,102	49
0.13,105	49
0.14,108	49
0.13,111	49
0.15,114	49
0.22,117	49
0.28,120	49
0.29,123	49
0.28,126	49
0.28,129	49
0.27,132	49
0.19,135	49
0.22,138	49
0.22,141	49
0.20,144	49
0.17,147	49
0.21,150	49
0.29,153	49
0.30,156	49
0.30,159	49
0.29,162	49
0.30,165	49
0.32,168	49
0.31,171	49
0.30,174	49
0.32,177	49
0.32,180	49
0.32,180	51
0.33,177	51
0.33,174	51
0.33,171	51
0.33,168	51
0.33,165	51
0.35,162	51
0.35,159	51
0.35,156	51
0.35,153	51
0.37,150	51
0.35,147	51
0.37,144	51
0.37,141	51
0.37,138	51
0.37,135	51
0.37,132	51
0.35,129	51
0.37,126	51
0.37,123	51
0.37,120	51
0.37,117	51
0.37,114	51
0.33,111	51
0.33,108	51
0.35,105	51
0.33,102	51
0.34,99	51
0.32,96	51
0.31,93	51
0.32,90	51
0.31,87	51
0.30,84	51
0.32,81	51
0.30,78	51
0.29,75	51
0.31,72	51
0.30,69	51
0.30,66	51
0.26,63	51
0.22,60	51
0.20,57	51
0.19,54	51
0.22,51	51
0.21,48	51
0.28,45	51
0.28,42	51
0.27,39	51
0.27,36	51
0.27,33	51
0.22,30	51
0.22,27	51
0.15,24	51
0.17,21	51
0.22,18	51
0.13,15	51
0.11,12	51
0.11,9	51
0.12,6	51
0.12,3	51
0.12,0	51
0.11,0	53
0.12,3	53
0.11,6	53
0.12,9	53
0.12,12	53
0.12,15	53
0.11,18	53
0.13,21	53
0.11,24	53
0.11,27	53
0.11,30	53
0.23,33	53
0.29,36	53
0.23,39	53
0.26,42	53
0.30,45	53
0.22,48	53
0.34,51	53
0.26,54	53
0.26,57	53
0.29,60	53
0.23,63	53
0.35,66	53
0.38,69	53
0.41,72	53
0.37,75	53
0.37,78	53
0.37,81	53
0.38,84	53
0.37,87	53
0.38,90	53
0.37,93	53
0.37,96	53
0.39,99	53
0.44,102	53
0.43,105	53
0.42,108	53
0.42,111	53
0.42,114	53
0.42,117	53
0.42,120	53
0.42,123	53
0.40,126	53
0.42,129	53
0.41,132	53
0.24,135	53
0.29,138	53
0.34,141	53
0.27,144	53
0.34,147	53
0.21,150	53
0.26,153	53
0.28,156	53
0.22,159	53
0.23,162	53
0.30,165	53
0.14,168	53
0.24,171	53
0.17,174	53
0.12,177	53
0.22,180	53
0.12,180	55
0.12,177	55
0.11,174	55
0.12,171	55
0.13,168	55
0.12,165	55
0.12,162	55
0.13,159	55
0.12,156	55
0.12,153	55
0.12,150	55
0.12,147	55
0.13,144	55
0.12,141	55
0.12,138	55
0.12,135	55
0.13,132	55
0.27,129	55
0.28,126	55
0.26,123	55
0.28,120	55
0.27,117	55
0.24,114	55
0.22,111	55
0.18,108	55
0.19,105	55
0.19,102	55
0.19,99	55
0.30,96	55
0.30,93	55
0.31,90	55
0.30,87	55
0.30,84	55
0.31,81	55
0.32,78	55
0.32,75	55
0.32,72	55
0.31,69	55
0.32,66	55
0.32,63	55
0.33,60	55
0.33,57	55
0.33,54	55
0.32,51	55
0.33,48	55
0.33,45	55
0.33,42	55
0.33,39	55
0.33,36	55
0.33,33	55
0.34,30	55
0.33,27	55
0.34,24	55
0.32,21	55
0.32,18	55
0.33,15	55
0.32,12	55
0.31,9	55
0.32,6	55
0.31,3	55
0.32,0	55
0.31,0	57
0.32,3	57
0.31,6	57
0.31,9	57
0.30,12	57
0.31,15	57
0.32,18	57
0.31,21	57
0.31,24	57
0.29,27	57
0.30,30	57
0.31,33	57
0.31,36	57
0.31,39	57
0.27,42	57
0.27,45	57
0.20,48	57
0.22,51	57
0.26,54	57
0.24,57	57
0.27,60	57
0.28,63	57
0.28,66	57
0.27,69	57
0.28,72	57
0.21,75	57
0.17,78	57
0.12,81	57
0.15,84	57
0.15,87	57
0.14,90	57
0.13,93	57
0.12,96	57
0.12,99	57
0.12,102	57
0.12,105	57
0.12,108	57
0.12,111	57
0.12,114	57
0.12,117	57
0.12,120	57
0.12,123	57
0.11,126	57
0.11,129	57
0.12,132	57
0.12,135	57
0.12,138	57
0.22,141	57
0.26,144	57
0.29,147	57
0.29,150	57
0.26,153	57
0.30,156	57
0.23,159	57
0.22,162	57
0.19,165	57
0.20,168	57
0.19,171	57
0.33,174	57
0.37,177	57
0.37,180	57
0.38,180	59
0.37,177	59
0.37,174	59
0.37,171	59
0.38,168	59
0.37,165	59
0.37,162	59
0.37,159	59
0.40,156	59
0.39,153	59
0.38,150	59
0.39,147	59
0.39,144	59
0.37,141	59
0.39,138	59
0.38,135	59
0.38,132	59
0.37,129	59
0.20,126	59
0.22,123	59
0.30,120	59
0.22,117	59
0.21,114	59
0.22,111	59
0.26,108	59
0.29,105	59
0.28,102	59
0.26,99	59
0.28,96	59
0.10,93	59
0.13,90	59
0.12,87	59
0.11,84	59
0.12,81	59
0.12,78	59
0.12,75	59
0.12,72	59
0.12,69	59
0.12,66	59
0.12,63	59
0.13,60	59
0.12,57	59
0.12,54	59
0.13,51	59
0.13,48	59
0.12,45	59
0.12,42	59
0.12,39	59
0.12,36	59
0.12,33	59
0.14,30	59
0.27,27	59
0.27,24	59
0.22,21	59
0.27,18	59
0.27,15	59
0.23,12	59
0.20,9	59
0.21,6	59
0.18,3	59
0.21,0	59
0.21,0	61
0.28,3	61
0.28,6	61
0.30,9	61
0.29,12	61
0.28,15	61
0.28,18	61
0.29,21	61
0.28,24	61
0.29,27	61
0.28,30	61
0.27,33	61
0.29,36	61
0.28,39	61
0.28,42	61
0.29,45	61
0.27,48	61
0.27,51	61
0.27,54	61
0.27,57	61
0.28,60	61
0.27,63	61
0.26,66	61
0.26,69	61
0.24,72	61
0.26,75	61
0.24,78	61
0.27,81	61
0.24,84	61
0.24,87	61
0.24,90	61
0.26,93	61
0.26,96	61
0.26,99	61
0.27,102	61
0.24,105	61
0.27,108	61
0.27,111	61
0.26,114	61
0.24,117	61
0.21,120	61
0.21,123	61
0.22,126	61
0.21,129	61
0.22,132	61
0.21,135	61
0.24,138	61
0.26,141	61
0.23,144	61
0.23,147	61
0.24,150	61
0.13,153	61
0.13,156	61
0.12,159	61
0.12,162	61
0.13,165	61
0.12,168	61
0.13,171	61
0.13,174	61
0.12,177	61
0.12,180	61
0.12,180	63
0.11,177	63
0.12,174	63
0.12,171	63
0.12,168	63
0.12,165	63
0.12,162	63
0.12,159	63
0.11,156	63
0.12,153	63
0.12,150	63
0.12,147	63
0.23,144	63
0.21,141	63
0.19,138	63
0.26,135	63
0.24,132	63
0.21,129	63
0.20,126	63
0.20,123	63
0.19,120	63
0.19,117	63
0.22,114	63
0.28,111	63
0.29,108	63
0.29,105	63
0.29,102	63
0.28,99	63
0.28,96	63
0.28,93	63
0.31,90	63
0.30,87	63
0.30,84	63
0.31,81	63
0.30,78	63
0.30,75	63
0.30,72	63
0.30,69	63
0.24,66	63
0.24,63	63
0.21,60	63
0.22,57	63
0.20,54	63
0.22,51	63
0.22,48	63
0.22,45	63
0.20,42	63
0.11,39	63
0.12,36	63
0.13,33	63
0.11,30	63
0.11,27	63
0.11,24	63
0.12,21	63
0.12,18	63
0.12,15	63
0.12,12	63
0.12,9	63
0.12,6	63
0.12,3	63
0.12,0	63
0.13,0	65
0.12,3	65
0.13,6	65
0.12,9	65
0.12,12	65
0.13,15	65
0.12,18	65
0.12,21	65
0.18,24	65
0.18,27	65
0.17,30	65
0.20,33	65
0.20,36	65
0.18,39	65
0.17,42	65
0.15,45	65
0.15,48	65
0.15,51	65
0.17,54	65
0.24,57	65
0.22,60	65
0.23,63	65
0.23,66	65
0.23,69	65
0.23,72	65
0.22,75	65
0.23,78	65
0.22,81	65
0.23,84	65
0.23,87	65
0.23,90	65
0.22,93	65
0.22,96	65
0.22,99	65
0.23,102	65
0.21,105	65
0.22,108	65
0.21,111	65
0.22,114	65
0.20,117	65
0.22,120	65
0.21,123	65
0.21,126	65
0.22,129	65
0.22,132	65
0.22,135	65
0.21,138	65
0.21,141	65
0.21,144	65
0.21,147	65
0.21,150	65
0.21,153	65
0.22,156	65
0.21,159	65
0.20,162	65
0.19,165	65
0.17,168	65
0.18,171	65
0.18,174	65
0.19,177	65
0.18,180	65
0.17,180	67
0.17,177	67
0.18,174	67
0.18,171	67
0.14,168	67
0.13,165	67
0.13,162	67
0.13,159	67
0.12,156	67
0.13,153	67
0.13,150	67
0.13,147	67
0.13,144	67
0.13,141	67
0.12,138	67
0.12,135	67
0.12,132	67
0.11,129	67
0.13,126	67
0.13,123	67
