0,1
False	15	105.703125	0.0,b'0\r\n'
False	15	107.0	1372.75,b'0\r\n'
False	15	108.34375	1389.0,b'0\r\n'
False	15	109.671875	1403.75,b'0\r\n'
False	15	110.984375	1420.75,b'0\r\n'
False	15	112.28125	1437.5,b'0\r\n'
False	15	113.59375	1454.0,b'0\r\n'
False	15	114.90625	1474.75,b'0\r\n'
False	15	116.296875	1498.5,b'0\r\n'
False	15	117.53125	1524.25,b'0\r\n'
False	15	118.890625	1550.5,b'0\r\n'
False	15	120.1875	1577.0,b'0\r\n'
False	15	121.5	1607.25,b'0\r\n'
False	15	122.875	1637.5,b'0\r\n'
False	15	124.140625	1667.75,b'0\r\n'
False	15	125.46875	1703.0,b'0\r\n'
False	15	126.78125	1743.75,b'0\r\n'
False	15	128.109375	1782.25,b'0\r\n'
False	15	129.40625	1820.5,b'0\r\n'
False	15	130.75	1867.75,b'0\r\n'
False	15	132.015625	1919.0,b'0\r\n'
False	9	133.34375	1962.75,b'0\r\n'
False	0	141.921875	0.0,b'0\r\n'
False	0	143.25	0.0,b'0\r\n'
False	0	144.59375	0.0,b'0\r\n'
False	0	145.921875	0.0,b'0\r\n'
False	0	147.25	0.0,b'0\r\n'
False	15	141.390625	0.0,b'0\r\n'
False	15	142.703125	1803.25,b'0\r\n'
False	15	144.0625	1800.75,b'0\r\n'
False	15	145.390625	1803.75,b'0\r\n'
False	15	146.71875	1791.5,b'0\r\n'
False	15	148.0625	1779.75,b'0\r\n'
False	15	149.390625	1764.0,b'0\r\n'
False	0	157.90625	0.0,b'0\r\n'
False	12	152.015625	0.0,b'0\r\n'
False	0	160.578125	0.0,b'0\r\n'
False	0	161.90625	0.0,b'0\r\n'
False	0	163.328125	0.0,b'0\r\n'
False	0	164.65625	0.0,b'0\r\n'
False	0	166.0	0.0,b'0\r\n'
False	0	167.328125	0.0,b'2\r\n'
False	0	168.671875	0.0,b'2\r\n'
False	15	162.828125	0.0,b'2\r\n'
False	15	164.171875	1763.5,b'2\r\n'
False	15	165.59375	0.0,b'2\r\n'
False	15	166.921875	1624.0,b'2\r\n'
False	15	168.265625	1625.25,b'2\r\n'
False	15	169.578125	1626.25,b'2\r\n'
False	15	170.890625	1630.0,b'2\r\n'
False	15	172.25	1634.5,b'2\r\n'
False	15	173.5625	1635.5,b'2\r\n'
False	15	174.921875	1640.0,b'2\r\n'
False	15	176.265625	1647.5,b'2\r\n'
False	11	177.578125	1652.5,b'2\r\n'
False	0	186.109375	0.0,b'2\r\n'
False	0	187.453125	0.0,b'2\r\n'
False	0	188.796875	0.0,b'2\r\n'
False	0	190.125	0.0,b'2\r\n'
False	0	191.46875	0.0,b'2\r\n'
False	0	192.8125	0.0,b'2\r\n'
